Date,3M
2008-01-02,2413.0
2008-01-03,2470.5
2008-01-04,2498.0
2008-01-07,2459.0
2008-01-08,2491.5
2008-01-09,2502.0
2008-01-10,2467.0
2008-01-11,2475.0
2008-01-14,2525.0
2008-01-15,2507.0
2008-01-16,2472.0
2008-01-17,2460.0
2008-01-18,2440.0
2008-01-21,2419.0
2008-01-22,2401.0
2008-01-23,2413.0
2008-01-24,2455.0
2008-01-25,2518.0
2008-01-28,2493.0
2008-01-29,2592.0
2008-01-30,2339.0
2008-01-31,2685.0
2008-02-01,2720.5
2008-02-04,2673.0
2008-02-05,2638.5
2008-02-06,2632.0
2008-02-07,2643.0
2008-02-08,2709.0
2008-02-11,2708.0
2008-02-12,2680.5
2008-02-13,2650.0
2008-02-14,2785.0
2008-02-15,2853.0
2008-02-18,2838.0
2008-02-19,2846.5
2008-02-20,
2008-02-21,
2008-02-22,
2008-02-25,
2008-02-26,
2008-02-27,
2008-02-28,
2008-02-29,
2008-03-03,
2008-03-04,
2008-03-05,
2008-03-06,
2008-03-07,
2008-03-10,
2008-03-11,
2008-03-12,
2008-03-13,
2008-03-14,
2008-03-17,
2008-03-18,
2008-03-19,
2008-03-20,
2008-03-25,
2008-03-26,
2008-03-27,
2008-03-28,
2008-03-31,
2008-04-01,
2008-04-02,
2008-04-03,
2008-04-04,
2008-04-07,
2008-04-08,
2008-04-09,
2008-04-10,
2008-04-11,
2008-04-14,
2008-04-15,
2008-04-16,
2008-04-17,
2008-04-18,
2008-04-21,
2008-04-22,
2008-04-23,
2008-04-24,
2008-04-25,
2008-04-28,
2008-04-29,
2008-04-30,
2008-05-01,
2008-05-02,
2008-05-06,
2008-05-07,
2008-05-08,
2008-05-09,
2008-05-12,
2008-05-13,
2008-05-14,
2008-05-15,
2008-05-16,
2008-05-19,
2008-05-20,
2008-05-21,
2008-05-22,
2008-05-23,
2008-05-27,
2008-05-28,
2008-05-29,
2008-05-30,
2008-06-02,
2008-06-03,
2008-06-04,
2008-06-05,
2008-06-06,
2008-06-09,
2008-06-10,
2008-06-11,
2008-06-12,
2008-06-13,
2008-06-16,
2008-06-17,2982.0
2008-06-18,3074.0
2008-06-19,3085.0
2008-06-20,3137.0
2008-06-23,3129.0
2008-06-24,3113.0
2008-06-25,3088.0
2008-06-26,3075.5
2008-06-27,3102.5
2008-06-30,3122.0
2008-07-01,3135.5
2008-07-02,3134.0
2008-07-03,3208.0
2008-07-04,3155.0
2008-07-07,3233.0
2008-07-08,3271.0
2008-07-09,3127.0
2008-07-10,3322.5
2008-07-11,3341.0
2008-07-14,3280.0
2008-07-15,3270.0
2008-07-16,3178.0
2008-07-17,3106.0
2008-07-18,3078.0
2008-07-21,3040.0
2008-07-22,3070.5
2008-07-23,3017.0
2008-07-24,2988.0
2008-07-25,2957.0
2008-07-28,2973.5
2008-07-29,2987.0
2008-07-30,2960.0
2008-07-31,2982.0
2008-08-01,2921.0
2008-08-04,2895.0
2008-08-05,2880.5
2008-08-06,2914.0
2008-08-07,2923.0
2008-08-08,2868.0
2008-08-11,2856.0
2008-08-12,2811.5
2008-08-13,2777.0
2008-08-14,2812.0
2008-08-15,2766.0
2008-08-18,2777.0
2008-08-19,2755.0
2008-08-20,2775.0
2008-08-21,2793.0
2008-08-22,2807.0
2008-08-26,2750.0
2008-08-27,2779.0
2008-08-28,2753.0
2008-08-29,2734.0
2008-09-01,2697.0
2008-09-02,2681.5
2008-09-03,2685.0
2008-09-04,2687.0
2008-09-05,2646.0
2008-09-08,2651.0
2008-09-09,2624.0
2008-09-10,2600.5
2008-09-11,2605.5
2008-09-12,2632.0
2008-09-15,2571.0
2008-09-16,2540.0
2008-09-17,2532.5
2008-09-18,2528.0
2008-09-19,2515.0
2008-09-22,2554.0
2008-09-23,2524.0
2008-09-24,2513.0
2008-09-25,2485.5
2008-09-26,2515.0
2008-09-29,2460.5
2008-09-30,2446.0
2008-10-01,2426.5
2008-10-02,2396.5
2008-10-03,2301.0
2008-10-06,2255.0
2008-10-07,2275.0
2008-10-08,2320.5
2008-10-09,2298.5
2008-10-10,2215.0
2008-10-13,2255.0
2008-10-14,2307.0
2008-10-15,2213.0
2008-10-16,2178.0
2008-10-17,2175.0
2008-10-20,2165.0
2008-10-21,2104.0
2008-10-22,2039.0
2008-10-23,1963.0
2008-10-24,1930.0
2008-10-27,1950.5
2008-10-28,2071.5
2008-10-29,2161.0
2008-10-30,2094.0
2008-10-31,2010.0
2008-11-03,2026.0
2008-11-04,2032.0
2008-11-05,2075.0
2008-11-06,2032.5
2008-11-07,2019.0
2008-11-08,2019.0
2008-11-10,2025.0
2008-11-11,1961.0
2008-11-12,1915.0
2008-11-13,1916.0
2008-11-14,1941.0
2008-11-17,1874.0
2008-11-18,1885.5
2008-11-19,1880.0
2008-11-20,1807.0
2008-11-21,1800.0
2008-11-24,1810.0
2008-11-25,1800.0
2008-11-26,1785.5
2008-11-27,1770.0
2008-11-28,1756.0
2008-12-01,1725.5
2008-12-02,1703.0
2008-12-03,1648.0
2008-12-04,1589.5
2008-12-05,1492.0
2008-12-08,1520.0
2008-12-09,1520.0
2008-12-10,1512.5
2008-12-11,1556.0
2008-12-12,1514.0
2008-12-15,1489.0
2008-12-16,1464.0
2008-12-17,1470.0
2008-12-18,1478.0
2008-12-19,1480.0
2008-12-22,1518.0
2008-12-23,1550.5
2008-12-24,1540.0
2008-12-29,1505.5
2008-12-30,1485.0
2008-12-31,1497.0
2009-01-02,1535.5
2009-01-05,1545.5
2009-01-06,1598.5
2009-01-07,1615.0
2009-01-08,1552.0
2009-01-09,1556.0
2009-01-12,1513.0
2009-01-13,1485.0
2009-01-14,1488.0
2009-01-15,1466.5
2009-01-16,1482.0
2009-01-19,1426.0
2009-01-20,1385.5
2009-01-21,1363.0
2009-01-22,1348.0
2009-01-23,1327.0
2009-01-26,1340.5
2009-01-27,1340.5
2009-01-28,1368.0
2009-01-29,1341.5
2009-01-30,1346.5
2009-02-02,1355.5
2009-02-03,1373.5
2009-02-04,1418.0
2009-02-05,1447.0
2009-02-06,1452.0
2009-02-09,1456.0
2009-02-10,1426.5
2009-02-11,1401.0
2009-02-12,1382.0
2009-02-13,1379.0
2009-02-16,1350.0
2009-02-17,1348.0
2009-02-18,1315.0
2009-02-19,1351.0
2009-02-20,1302.0
2009-02-23,1302.0
2009-02-24,1288.5
2009-02-25,1330.5
2009-02-26,1355.0
2009-02-27,1326.0
2009-03-02,1310.5
2009-03-03,1321.0
2009-03-04,1332.5
2009-03-05,1341.0
2009-03-06,1329.0
2009-03-09,1302.0
2009-03-10,1315.0
2009-03-11,1337.5
2009-03-12,1337.0
2009-03-13,1366.0
2009-03-16,1345.5
2009-03-17,1370.0
2009-03-18,1376.0
2009-03-19,1436.0
2009-03-20,1470.0
2009-03-23,1440.0
2009-03-24,1408.0
2009-03-25,1401.0
2009-03-26,1452.0
2009-03-27,1420.5
2009-03-30,1391.0
2009-03-31,1405.0
2009-04-01,1378.0
2009-04-02,1415.5
2009-04-03,1451.5
2009-04-06,1490.5
2009-04-07,1460.0
2009-04-08,1457.0
2009-04-09,1489.0
2009-04-14,1505.0
2009-04-15,1506.0
2009-04-16,1493.5
2009-04-17,1482.0
2009-04-20,1456.0
2009-04-21,1433.5
2009-04-22,1445.5
2009-04-23,1468.0
2009-04-24,1455.5
2009-04-27,1435.0
2009-04-28,1428.5
2009-04-29,1456.0
2009-04-30,1467.0
2009-05-01,1518.5
2009-05-05,1516.0
2009-05-06,1533.0
2009-05-07,1587.0
2009-05-08,1557.0
2009-05-11,1522.0
2009-05-12,1553.0
2009-05-13,1521.5
2009-05-14,1508.0
2009-05-15,1515.0
2009-05-18,1510.0
2009-05-19,1526.5
2009-05-20,1487.0
2009-05-21,1466.0
2009-05-22,1442.0
2009-05-26,1441.0
2009-05-27,1430.5
2009-05-28,1400.0
2009-05-29,1416.5
2009-06-01,1460.0
2009-06-02,1475.0
2009-06-03,1473.5
2009-06-04,1472.0
2009-06-05,1587.0
2009-06-08,1602.0
2009-06-09,1630.0
2009-06-10,1673.5
2009-06-11,1674.0
2009-06-12,1671.0
2009-06-15,1622.5
2009-06-16,1628.0
2009-06-17,1590.5
2009-06-18,1622.0
2009-06-19,1668.0
2009-06-22,1619.0
2009-06-23,1591.0
2009-06-24,1627.0
2009-06-25,1655.5
2009-06-26,1675.5
2009-06-29,1647.0
2009-06-30,1651.0
2009-07-01,1645.0
2009-07-02,1643.5
2009-07-03,1622.5
2009-07-06,1585.0
2009-07-07,1640.0
2009-07-08,1592.0
2009-07-09,1571.0
2009-07-10,1565.5
2009-07-13,1565.5
2009-07-14,1594.0
2009-07-15,1649.0
2009-07-16,1658.0
2009-07-17,1700.0
2009-07-20,1739.0
2009-07-21,1720.5
2009-07-22,1734.0
2009-07-23,1731.0
2009-07-24,1811.5
2009-07-27,1846.5
2009-07-28,1837.0
2009-07-29,1803.5
2009-07-30,1845.0
2009-07-31,1887.5
2009-08-03,1949.5
2009-08-04,1927.5
2009-08-05,2043.0
2009-08-06,2026.0
2009-08-07,2005.0
2009-08-10,2033.0
2009-08-11,1986.0
2009-08-12,1925.0
2009-08-13,2065.5
2009-08-14,2050.0
2009-08-17,1947.0
2009-08-18,2026.0
2009-08-19,1940.5
2009-08-20,1938.0
2009-08-21,1939.0
2009-08-24,1916.5
2009-08-25,1925.0
2009-08-26,1890.0
2009-08-27,1864.0
2009-08-28,1913.0
2009-09-01,1867.0
2009-09-02,1822.0
2009-09-03,1866.0
2009-09-04,1843.0
2009-09-07,1858.0
2009-09-08,1918.5
2009-09-09,1899.0
2009-09-10,1856.5
2009-09-11,1856.0
2009-09-14,1831.0
2009-09-15,1842.0
2009-09-16,1888.0
2009-09-17,1946.5
2009-09-18,1955.5
2009-09-21,1871.5
2009-09-22,1893.5
2009-09-23,1881.0
2009-09-24,1864.0
2009-09-25,1827.0
2009-09-28,1792.0
2009-09-29,1816.5
2009-09-30,1887.0
2009-10-01,1894.0
2009-10-02,1823.0
2009-10-05,1794.0
2009-10-06,1830.5
2009-10-07,1828.0
2009-10-08,1898.0
2009-10-09,1901.5
2009-10-12,1949.0
2009-10-13,1944.0
2009-10-14,1896.5
2009-10-15,1873.5
2009-10-16,1901.0
2009-10-19,1905.0
2009-10-20,1955.5
2009-10-21,1903.0
2009-10-22,1983.5
2009-10-23,1984.0
2009-10-26,2010.5
2009-10-27,2017.5
2009-10-28,1962.0
2009-10-29,1937.0
2009-10-30,1934.5
2009-11-02,1910.0
2009-11-03,1898.0
2009-11-04,1927.5
2009-11-05,1919.5
2009-11-06,1917.5
2009-11-09,1927.5
2009-11-10,1947.0
2009-11-11,1971.0
2009-11-12,1951.0
2009-11-13,1936.5
2009-11-16,1971.0
2009-11-17,2037.5
2009-11-18,2070.0
2009-11-19,2037.5
2009-11-20,2016.0
2009-11-23,2057.5
2009-11-24,2028.5
2009-11-25,2040.0
2009-11-26,2035.0
2009-11-27,1987.5
2009-11-30,2035.0
2009-12-01,2080.5
2009-12-02,2130.5
2009-12-03,2144.0
2009-12-04,2138.0
2009-12-07,2134.0
2009-12-08,2164.5
2009-12-09,2163.0
2009-12-10,2200.5
2009-12-11,2245.5
2009-12-14,2284.0
2009-12-15,2233.5
2009-12-16,2279.5
2009-12-17,2245.5
2009-12-18,2251.0
2009-12-21,2268.5
2009-12-22,2242.0
2009-12-23,2249.5
2009-12-24,2248.0
2009-12-29,2276.5
2009-12-30,2263.0
2009-12-31,2242.0
2010-01-04,2259.0
2010-01-05,2280.5
2010-01-06,2334.0
2010-01-07,2337.5
2010-01-08,2292.5
2010-01-11,2357.0
2010-01-12,2292.5
2010-01-13,2283.0
2010-01-14,2327.0
2010-01-15,2316.0
2010-01-18,2320.5
2010-01-19,2272.5
2010-01-20,2284.0
2010-01-21,2258.0
2010-01-22,2220.0
2010-01-25,2246.5
2010-01-26,2217.0
2010-01-27,2184.5
2010-01-28,2155.0
2010-01-29,2096.0
2010-02-01,2077.5
2010-02-02,2100.0
2010-02-03,2118.5
2010-02-04,2078.0
2010-02-05,1983.0
2010-02-08,2002.5
2010-02-09,2035.5
2010-02-10,2053.0
2010-02-11,2045.0
2010-02-12,2034.5
2010-02-15,2066.0
2010-02-16,2081.0
2010-02-17,2123.0
2010-02-18,2108.0
2010-02-19,2105.0
2010-02-22,2146.0
2010-02-23,2150.0
2010-02-24,2113.5
2010-02-25,2090.5
2010-02-26,2088.5
2010-03-01,2132.0
2010-03-02,2140.0
2010-03-03,2165.5
2010-03-04,2233.0
2010-03-05,2233.0
2010-03-08,2254.0
2010-03-09,2228.0
2010-03-10,2260.0
2010-03-11,2226.5
2010-03-12,2245.5
2010-03-15,2239.0
2010-03-16,2249.0
2010-03-17,2277.5
2010-03-18,2280.0
2010-03-19,2267.0
2010-03-22,2228.0
2010-03-23,2258.0
2010-03-24,2225.5
2010-03-25,2208.0
2010-03-26,2230.0
2010-03-29,2252.5
2010-03-30,2298.0
2010-03-31,2320.0
2010-04-01,2353.5
2010-04-06,2356.5
2010-04-07,2352.5
2010-04-08,2325.5
2010-04-09,2388.0
2010-04-12,2415.0
2010-04-13,2401.0
2010-04-14,2455.0
2010-04-15,2452.0
2010-04-16,2482.0
2010-04-19,2368.0
2010-04-20,2413.0
2010-04-21,2355.5
2010-04-22,2320.5
2010-04-23,2297.0
2010-04-26,2323.0
2010-04-27,2290.0
2010-04-28,2143.0
2010-04-29,2224.0
2010-04-30,2210.0
2010-05-04,2195.5
2010-05-05,2121.0
2010-05-06,2082.5
2010-05-07,2092.0
2010-05-10,2138.5
2010-05-11,2056.5
2010-05-12,2125.0
2010-05-13,2137.0
2010-05-14,2108.0
2010-05-17,2040.0
2010-05-18,2036.0
2010-05-19,1998.0
2010-05-20,1976.0
2010-05-21,2022.0
2010-05-24,2038.0
2010-05-25,2012.0
2010-05-26,2041.5
2010-05-27,2034.5
2010-05-28,2070.5
2010-06-01,1979.0
2010-06-02,1984.5
2010-06-03,1984.0
2010-06-04,1943.0
2010-06-07,1858.0
2010-06-08,1885.0
2010-06-09,1945.0
2010-06-10,1931.0
2010-06-11,1964.0
2010-06-14,1975.0
2010-06-15,1991.0
2010-06-16,2001.0
2010-06-17,1980.5
2010-06-18,1956.0
2010-06-21,1996.0
2010-06-22,1938.0
2010-06-23,1948.0
2010-06-24,1941.0
2010-06-25,1978.0
2010-06-28,2022.0
2010-06-29,1987.0
2010-06-30,1954.0
2010-07-01,1950.0
2010-07-02,1956.0
2010-07-05,1934.0
2010-07-06,1968.0
2010-07-07,1975.0
2010-07-08,1993.0
2010-07-09,1993.0
2010-07-12,1983.0
2010-07-13,1962.5
2010-07-14,2019.0
2010-07-15,2011.0
2010-07-16,2025.0
2010-07-19,1972.0
2010-07-20,1952.0
2010-07-21,1995.0
2010-07-22,2025.0
2010-07-23,2024.0
2010-07-26,2040.5
2010-07-27,2063.0
2010-07-28,2077.0
2010-07-29,2098.0
2010-07-30,2138.0
2010-08-02,2191.5
2010-08-03,2206.0
2010-08-04,2210.5
2010-08-05,2222.0
2010-08-06,2217.5
2010-08-09,2206.0
2010-08-10,2155.0
2010-08-11,2158.0
2010-08-12,2138.0
2010-08-13,2149.0
2010-08-16,2119.0
2010-08-17,2147.5
2010-08-18,2135.0
2010-08-19,2103.0
2010-08-20,2026.0
2010-08-23,2055.0
2010-08-24,2032.0
2010-08-25,2013.0
2010-08-26,2006.0
2010-08-27,2014.0
2010-08-31,2050.0
2010-09-01,2074.0
2010-09-02,2122.0
2010-09-03,2155.0
2010-09-06,2179.0
2010-09-07,2138.0
2010-09-08,2150.0
2010-09-09,2111.0
2010-09-10,2113.5
2010-09-13,2147.0
2010-09-14,2135.0
2010-09-15,2151.0
2010-09-16,2167.5
2010-09-17,2190.0
2010-09-20,2209.0
2010-09-21,2198.0
2010-09-22,2190.0
2010-09-23,2266.5
2010-09-24,2306.0
2010-09-27,2316.0
2010-09-28,2269.0
2010-09-29,2329.0
2010-09-30,2348.0
2010-10-01,2374.0
2010-10-04,2354.0
2010-10-05,2367.0
2010-10-06,2370.0
2010-10-07,2376.0
2010-10-08,2349.5
2010-10-11,2424.5
2010-10-12,2418.0
2010-10-13,2425.0
2010-10-14,2434.0
2010-10-15,2404.0
