Date,3M
2008-01-02,6706.0
2008-01-03,6818.0
2008-01-04,7035.0
2008-01-07,6950.5
2008-01-08,7140.5
2008-01-09,7370.5
2008-01-10,7135.0
2008-01-11,7220.0
2008-01-14,7390.5
2008-01-15,7251.0
2008-01-16,7022.0
2008-01-17,7125.5
2008-01-18,7055.0
2008-01-21,6895.0
2008-01-22,6850.0
2008-01-23,6980.0
2008-01-24,7070.0
2008-01-25,7126.0
2008-01-28,6910.0
2008-01-29,7179.0
2008-01-30,7190.0
2008-01-31,7170.0
2008-02-01,7339.0
2008-02-04,7295.0
2008-02-05,7225.0
2008-02-06,7190.0
2008-02-07,7360.0
2008-02-08,7560.0
2008-02-11,7790.0
2008-02-12,7800.0
2008-02-13,7656.0
2008-02-14,7766.5
2008-02-15,7781.0
2008-02-18,7920.0
2008-02-19,8040.0
2008-02-20,8050.0
2008-02-21,8241.0
2008-02-22,8283.0
2008-02-25,8220.5
2008-02-26,8225.0
2008-02-27,8430.0
2008-02-28,8440.0
2008-02-29,8460.0
2008-03-03,8495.0
2008-03-04,8581.0
2008-03-05,8320.5
2008-03-06,8810.0
2008-03-07,8560.0
2008-03-10,8310.5
2008-03-11,8500.0
2008-03-12,8280.0
2008-03-13,8445.0
2008-03-14,8490.0
2008-03-17,8140.0
2008-03-18,8161.0
2008-03-19,8112.0
2008-03-20,7665.0
2008-03-25,8100.0
2008-03-26,8150.0
2008-03-27,8350.0
2008-03-28,8456.0
2008-03-31,8410.0
2008-04-01,8197.0
2008-04-02,8345.0
2008-04-03,8441.0
2008-04-04,8510.5
2008-04-07,8641.0
2008-04-08,8559.0
2008-04-09,8550.0
2008-04-10,8720.5
2008-04-11,8660.0
2008-04-14,8520.0
2008-04-15,8589.0
2008-04-16,8635.0
2008-04-17,8750.5
2008-04-18,8532.0
2008-04-21,8551.0
2008-04-22,8650.0
2008-04-23,8695.5
2008-04-24,8595.0
2008-04-25,8521.0
2008-04-28,8601.0
2008-04-29,8585.5
2008-04-30,8500.0
2008-05-01,8540.0
2008-05-02,8225.0
2008-05-06,8480.0
2008-05-07,8505.0
2008-05-08,8285.0
2008-05-09,8270.0
2008-05-12,8171.0
2008-05-13,8300.5
2008-05-14,8090.0
2008-05-15,8193.5
2008-05-16,8342.0
2008-05-19,8410.0
2008-05-20,8236.0
2008-05-21,8290.0
2008-05-22,8301.0
2008-05-23,8155.0
2008-05-27,8230.0
2008-05-28,8061.0
2008-05-29,7981.0
2008-05-30,7955.0
2008-06-02,7850.0
2008-06-03,7927.0
2008-06-04,7871.0
2008-06-05,7789.5
2008-06-06,7986.0
2008-06-09,7980.0
2008-06-10,7921.0
2008-06-11,7841.0
2008-06-12,7815.0
2008-06-13,7865.0
2008-06-16,8040.0
2008-06-17,8042.5
2008-06-18,8126.0
2008-06-19,8228.0
2008-06-20,8421.0
2008-06-23,8385.0
2008-06-24,8341.0
2008-06-25,8374.0
2008-06-26,8388.0
2008-06-27,8500.0
2008-06-30,8585.0
2008-07-01,8550.5
2008-07-02,8595.0
2008-07-03,8812.0
2008-07-04,8501.0
2008-07-07,8410.0
2008-07-08,8370.0
2008-07-09,8200.0
2008-07-10,8279.0
2008-07-11,8291.0
2008-07-14,8271.0
2008-07-15,8275.5
2008-07-16,8085.0
2008-07-17,8086.0
2008-07-18,8096.0
2008-07-21,8161.0
2008-07-22,8226.0
2008-07-23,8110.0
2008-07-24,8031.5
2008-07-25,7955.0
2008-07-28,7976.0
2008-07-29,7913.0
2008-07-30,7858.0
2008-07-31,8075.0
2008-08-01,7910.0
2008-08-04,7755.0
2008-08-05,7621.0
2008-08-06,7721.0
2008-08-07,7685.0
2008-08-08,7430.0
2008-08-11,7380.0
2008-08-12,7226.0
2008-08-13,7240.0
2008-08-14,7590.0
2008-08-15,7275.0
2008-08-18,7410.0
2008-08-19,7391.0
2008-08-20,7565.0
2008-08-21,7745.0
2008-08-22,7762.0
2008-08-26,7510.0
2008-08-27,7561.0
2008-08-28,7590.0
2008-08-29,7450.0
2008-09-01,7360.0
2008-09-02,7181.0
2008-09-03,7309.0
2008-09-04,7375.0
2008-09-05,7035.0
2008-09-08,6970.0
2008-09-09,6878.5
2008-09-10,6850.0
2008-09-11,6866.0
2008-09-12,7056.0
2008-09-15,6820.5
2008-09-16,6795.0
2008-09-17,6886.0
2008-09-18,6890.0
2008-09-19,6867.0
2008-09-22,7140.0
2008-09-23,7091.0
2008-09-24,6995.0
2008-09-25,6866.0
2008-09-26,6885.5
2008-09-29,6555.0
2008-09-30,6399.0
2008-10-01,6361.0
2008-10-02,6190.0
2008-10-03,5885.0
2008-10-06,5611.0
2008-10-07,5630.0
2008-10-08,5440.0
2008-10-09,5341.0
2008-10-10,4880.0
2008-10-13,4920.0
2008-10-14,5520.0
2008-10-15,5060.0
2008-10-16,4819.0
2008-10-17,4650.0
2008-10-20,4826.0
2008-10-21,4510.0
2008-10-22,4285.0
2008-10-23,3965.0
2008-10-24,3725.0
2008-10-27,3709.0
2008-10-28,4090.0
