Date,Cash
2008-01-02,2365.5
2008-01-03,2422.0
2008-01-04,2447.0
2008-01-07,2404.0
2008-01-08,2442.0
2008-01-09,2450.5
2008-01-10,2415.5
2008-01-11,2417.0
2008-01-14,2470.5
2008-01-15,2460.5
2008-01-16,2423.0
2008-01-17,2412.5
2008-01-18,2400.0
2008-01-21,2371.5
2008-01-22,2359.0
2008-01-23,2371.0
2008-01-24,2411.0
2008-01-25,2483.0
2008-01-28,2447.0
2008-01-29,2555.0
2008-01-30,2631.0
2008-01-31,2643.0
2008-02-01,2676.0
2008-02-04,2628.5
2008-02-05,2597.5
2008-02-06,2591.5
2008-02-07,2601.0
2008-02-08,2680.0
2008-02-11,2668.0
2008-02-12,2637.5
2008-02-13,2608.0
2008-02-14,2738.0
2008-02-15,2812.5
2008-02-18,2796.0
2008-02-19,2806.0
2008-02-20,2812.5
2008-02-21,2865.0
2008-02-22,2865.5
2008-02-25,2857.5
2008-02-26,2877.0
2008-02-27,3065.5
2008-02-28,3046.0
2008-02-29,3086.0
2008-03-03,3141.0
2008-03-04,3111.0
2008-03-05,3062.0
2008-03-06,3172.0
2008-03-07,3175.0
2008-03-10,3100.0
2008-03-11,3115.0
2008-03-12,3001.5
2008-03-13,3078.0
2008-03-14,3108.0
2008-03-17,2931.0
2008-03-18,2940.0
2008-03-19,2862.0
2008-03-20,2762.0
2008-03-25,2887.0
2008-03-26,2860.5
2008-03-27,2918.0
2008-03-28,2941.5
2008-03-31,2935.0
2008-04-01,2876.0
2008-04-02,2900.0
2008-04-03,2837.0
2008-04-04,2846.5
2008-04-07,2907.5
2008-04-08,2926.0
2008-04-09,2952.0
2008-04-10,3042.0
2008-04-11,3030.5
2008-04-14,3000.5
2008-04-15,2986.5
2008-04-16,3009.0
2008-04-17,3037.0
2008-04-18,2965.0
2008-04-21,3012.5
2008-04-22,3012.0
2008-04-23,3041.0
2008-04-24,3025.5
2008-04-25,2913.5
2008-04-28,2951.0
2008-04-29,2938.0
2008-04-30,2895.0
2008-05-01,2850.0
2008-05-02,2816.0
2008-05-06,2881.0
2008-05-07,2882.5
2008-05-08,2820.0
2008-05-09,2867.5
2008-05-12,2856.0
2008-05-13,2898.0
2008-05-14,2881.5
2008-05-15,2953.5
2008-05-16,2990.0
2008-05-19,2955.0
2008-05-20,2919.0
2008-05-21,2960.5
2008-05-22,2992.0
2008-05-23,2945.5
2008-05-27,2958.0
2008-05-28,2888.0
2008-05-29,2861.0
2008-05-30,2883.0
2008-06-02,2858.5
2008-06-03,2871.0
2008-06-04,2858.5
2008-06-05,2825.0
2008-06-06,2901.0
2008-06-09,2905.0
2008-06-10,2891.0
2008-06-11,2900.0
2008-06-12,2882.5
2008-06-13,2895.5
2008-06-16,2910.5
2008-06-17,2934.0
2008-06-18,3026.0
2008-06-19,3035.0
2008-06-20,3090.5
2008-06-23,3076.0
2008-06-24,3064.5
2008-06-25,3038.5
2008-06-26,3024.5
2008-06-27,3052.5
2008-06-30,3075.0
2008-07-01,3086.0
2008-07-02,3084.0
2008-07-03,3158.0
2008-07-04,3090.0
2008-07-07,3187.0
2008-07-08,3220.0
2008-07-09,3077.0
2008-07-10,3271.5
2008-07-11,3291.5
2008-07-14,3230.0
2008-07-15,3217.5
2008-07-16,3126.0
2008-07-17,3059.0
2008-07-18,3026.0
2008-07-21,2987.5
2008-07-22,3021.0
2008-07-23,2966.5
2008-07-24,2936.5
2008-07-25,2907.5
2008-07-28,2923.5
2008-07-29,2937.0
2008-07-30,2907.0
2008-07-31,2928.5
2008-08-01,2872.5
2008-08-04,2840.0
2008-08-05,2831.0
2008-08-06,2855.0
2008-08-07,2866.0
2008-08-08,2820.5
2008-08-11,2803.5
2008-08-12,2755.0
2008-08-13,2728.5
2008-08-14,2760.5
2008-08-15,2716.0
2008-08-18,2716.0
2008-08-19,2700.5
2008-08-20,2720.0
2008-08-21,2744.0
2008-08-22,2751.0
2008-08-26,2695.0
2008-08-27,2725.0
2008-08-28,2705.0
2008-08-29,2682.5
2008-09-01,2647.0
2008-09-02,2632.0
2008-09-03,2635.0
2008-09-04,2638.0
2008-09-05,2596.0
2008-09-08,2597.0
2008-09-09,2571.0
2008-09-10,2555.0
2008-09-11,2561.5
2008-09-12,2583.0
2008-09-15,2518.0
2008-09-16,2491.0
2008-09-17,2482.0
2008-09-18,2475.5
2008-09-19,2461.5
2008-09-22,2500.5
2008-09-23,2465.0
2008-09-24,2461.0
2008-09-25,2431.0
2008-09-26,2462.0
2008-09-29,2410.0
2008-09-30,2395.0
2008-10-01,2376.5
2008-10-02,2346.0
2008-10-03,2250.0
2008-10-06,2206.0
2008-10-07,2228.0
2008-10-08,2272.0
2008-10-09,2240.0
2008-10-10,2162.0
2008-10-13,2194.0
2008-10-14,2242.0
2008-10-15,2135.5
2008-10-16,2110.5
2008-10-17,2104.0
2008-10-20,2101.0
2008-10-21,2044.0
2008-10-22,1982.0
2008-10-23,1910.5
2008-10-24,1876.0
2008-10-27,1886.0
2008-10-28,2015.5
2008-10-29,2104.5
2008-10-30,2036.0
2008-10-31,1970.5
2008-11-03,1966.0
2008-11-04,1990.5
2008-11-05,2012.0
2008-11-06,1975.5
2008-11-07,1956.0
2008-11-08,1956.0
2008-11-10,1971.0
2008-11-11,1906.5
2008-11-12,1860.0
2008-11-13,1871.5
2008-11-14,1888.0
2008-11-17,1820.5
2008-11-18,1835.5
2008-11-19,1825.5
2008-11-20,1751.5
2008-11-21,1750.0
2008-11-24,1758.0
2008-11-25,1749.0
2008-11-26,1740.0
2008-11-27,1720.5
2008-11-28,1701.0
2008-12-01,1690.5
2008-12-02,1642.5
2008-12-03,1587.0
2008-12-04,1544.0
2008-12-05,1446.0
2008-12-08,1466.0
2008-12-09,1463.0
2008-12-10,1462.5
2008-12-11,1525.5
2008-12-12,1466.0
2008-12-15,1442.0
2008-12-16,1423.0
2008-12-17,1431.0
2008-12-18,1431.0
2008-12-19,1438.5
2008-12-22,1478.0
2008-12-23,1506.5
2008-12-24,1495.5
2008-12-29,1460.0
2008-12-30,1445.5
2008-12-31,1455.0
2009-01-02,1492.0
2009-01-05,1515.5
2009-01-06,1569.0
2009-01-07,1575.0
2009-01-08,1516.5
2009-01-09,1520.5
2009-01-12,1475.5
2009-01-13,1440.5
2009-01-14,1454.0
2009-01-15,1431.0
2009-01-16,1445.5
2009-01-19,1401.0
2009-01-20,1351.0
2009-01-21,1325.5
2009-01-22,1311.0
2009-01-23,1290.0
2009-01-26,1300.5
2009-01-27,1309.0
2009-01-28,1332.0
2009-01-29,1309.0
2009-01-30,1311.5
2009-02-02,1316.0
2009-02-03,1336.0
2009-02-04,1384.0
2009-02-05,1408.5
2009-02-06,1422.0
2009-02-09,1420.0
2009-02-10,1390.0
2009-02-11,1362.5
2009-02-12,1341.0
2009-02-13,1347.0
2009-02-16,1315.5
2009-02-17,1310.5
2009-02-18,1280.5
2009-02-19,1296.0
2009-02-20,1264.5
2009-02-23,1261.5
2009-02-24,1253.5
2009-02-25,1293.5
2009-02-26,1311.5
2009-02-27,1290.0
2009-03-02,1270.5
2009-03-03,1285.5
2009-03-04,1302.0
2009-03-05,1302.0
2009-03-06,1292.5
2009-03-09,1261.5
2009-03-10,1282.0
2009-03-11,1301.0
2009-03-12,1303.0
2009-03-13,1335.0
2009-03-16,1311.0
2009-03-17,1316.5
2009-03-18,1339.0
2009-03-19,1401.0
2009-03-20,1434.0
2009-03-23,1403.0
2009-03-24,1370.0
2009-03-25,1360.0
2009-03-26,1410.0
2009-03-27,1381.0
2009-03-30,1362.5
2009-03-31,1365.5
2009-04-01,1337.0
2009-04-02,1381.0
2009-04-03,1410.5
2009-04-06,1448.0
2009-04-07,1426.0
2009-04-08,1417.0
2009-04-09,1451.0
2009-04-14,1472.0
2009-04-15,1469.0
2009-04-16,1456.5
2009-04-17,1441.0
2009-04-20,1419.0
2009-04-21,1398.5
2009-04-22,1410.0
2009-04-23,1426.5
2009-04-24,1416.5
2009-04-27,1398.5
2009-04-28,1389.5
2009-04-29,1419.0
2009-04-30,1430.5
2009-05-01,1481.5
2009-05-05,1478.5
2009-05-06,1491.0
2009-05-07,1550.5
2009-05-08,1515.5
2009-05-11,1482.5
2009-05-12,1519.0
2009-05-13,1483.0
2009-05-14,1473.0
2009-05-15,1477.0
2009-05-18,1472.0
2009-05-19,1489.5
2009-05-20,1452.0
2009-05-21,1430.0
2009-05-22,1407.0
2009-05-26,1405.0
2009-05-27,1394.5
2009-05-28,1363.0
2009-05-29,1384.0
2009-06-01,1425.0
2009-06-02,1441.0
2009-06-03,1443.0
2009-06-04,1442.0
2009-06-05,1556.5
2009-06-08,1571.0
2009-06-09,1599.0
2009-06-10,1638.0
2009-06-11,1642.0
2009-06-12,1641.0
2009-06-15,1586.0
2009-06-16,1601.0
2009-06-17,1562.5
2009-06-18,1589.5
2009-06-19,1642.0
2009-06-22,1585.0
2009-06-23,1563.0
2009-06-24,1594.0
2009-06-25,1622.0
2009-06-26,1646.5
2009-06-29,1616.0
2009-06-30,1616.0
2009-07-01,1610.0
2009-07-02,1611.0
2009-07-03,1596.0
2009-07-06,1559.0
2009-07-07,1610.0
2009-07-08,1561.5
2009-07-09,1540.0
2009-07-10,1534.0
2009-07-13,1531.5
2009-07-14,1566.0
2009-07-15,1622.5
2009-07-16,1636.0
2009-07-17,1671.5
2009-07-20,1713.5
2009-07-21,1693.0
2009-07-22,1707.0
2009-07-23,1702.5
2009-07-24,1798.0
2009-07-27,1828.0
2009-07-28,1814.0
2009-07-29,1775.5
2009-07-30,1819.0
2009-07-31,1863.5
2009-08-03,1930.5
2009-08-04,1904.5
2009-08-05,2015.5
2009-08-06,2001.5
2009-08-07,1972.0
2009-08-10,1998.0
2009-08-11,1954.0
2009-08-12,1892.0
2009-08-13,2035.0
2009-08-14,2016.5
2009-08-17,1910.0
2009-08-18,1990.5
2009-08-19,1905.0
2009-08-20,1906.0
2009-08-21,1908.0
2009-08-24,1881.0
2009-08-25,1885.0
2009-08-26,1856.5
2009-08-27,1833.0
2009-08-28,1880.5
2009-09-01,1830.5
2009-09-02,1792.5
2009-09-03,1826.0
2009-09-04,1816.0
2009-09-07,1822.0
2009-09-08,1886.0
2009-09-09,1868.0
