Date,Cash
2008-01-02,6666.0
2008-01-03,6765.0
2008-01-04,6990.5
2008-01-07,6915.5
2008-01-08,7106.0
2008-01-09,7351.0
2008-01-10,7120.5
2008-01-11,7196.0
2008-01-14,7361.0
2008-01-15,7225.5
2008-01-16,7020.0
2008-01-17,7121.5
2008-01-18,7062.0
2008-01-21,6910.0
2008-01-22,6920.0
2008-01-23,7000.5
2008-01-24,7092.0
2008-01-25,7120.0
2008-01-28,6893.0
2008-01-29,7171.0
2008-01-30,7165.0
2008-01-31,7170.5
2008-02-01,7345.0
2008-02-04,7295.0
2008-02-05,7202.0
2008-02-06,7181.0
2008-02-07,7350.0
2008-02-08,7612.0
2008-02-11,7820.5
2008-02-12,7805.0
2008-02-13,7680.5
2008-02-14,7776.0
2008-02-15,7801.0
2008-02-18,7945.0
2008-02-19,8080.0
2008-02-20,8101.0
2008-02-21,8281.0
2008-02-22,8322.0
2008-02-25,8247.0
2008-02-26,8271.0
2008-02-27,8516.0
2008-02-28,8470.0
2008-02-29,8540.5
2008-03-03,8565.0
2008-03-04,8685.0
2008-03-05,8416.0
2008-03-06,8881.0
2008-03-07,8660.0
2008-03-10,8400.5
2008-03-11,8560.5
2008-03-12,8356.0
2008-03-13,8550.0
2008-03-14,8611.0
2008-03-17,8360.0
2008-03-18,8285.0
2008-03-19,8210.5
2008-03-20,7789.0
2008-03-25,8240.0
2008-03-26,8260.0
2008-03-27,8457.0
2008-03-28,8540.0
2008-03-31,8520.0
2008-04-01,8325.5
2008-04-02,8464.0
2008-04-03,8591.0
2008-04-04,8645.0
2008-04-07,8740.0
2008-04-08,8682.0
2008-04-09,8650.0
2008-04-10,8884.5
2008-04-11,8810.0
2008-04-14,8679.5
2008-04-15,8720.0
2008-04-16,8736.5
2008-04-17,8861.5
2008-04-18,8630.0
2008-04-21,8641.5
2008-04-22,8770.0
2008-04-23,8796.0
2008-04-24,8700.5
2008-04-25,8600.0
2008-04-28,8746.0
2008-04-29,8740.0
2008-04-30,8655.0
2008-05-01,8686.0
2008-05-02,8390.0
2008-05-06,8622.0
2008-05-07,8641.0
2008-05-08,8460.0
2008-05-09,8400.0
2008-05-12,8276.0
2008-05-13,8410.0
2008-05-14,8180.0
2008-05-15,8360.0
2008-05-16,8470.0
2008-05-19,8540.0
2008-05-20,8360.0
2008-05-21,8395.0
2008-05-22,8420.0
2008-05-23,8278.0
2008-05-27,8376.0
2008-05-28,8176.0
2008-05-29,8110.0
2008-05-30,8105.0
2008-06-02,7980.0
2008-06-03,8060.0
2008-06-04,8006.0
2008-06-05,7921.0
2008-06-06,8106.0
2008-06-09,8092.5
2008-06-10,8050.0
2008-06-11,7989.0
2008-06-12,7955.0
2008-06-13,8025.0
2008-06-16,8255.0
2008-06-17,8181.0
2008-06-18,8296.0
2008-06-19,8385.5
2008-06-20,8590.0
2008-06-23,8540.5
2008-06-24,8491.5
2008-06-25,8542.0
2008-06-26,8551.0
2008-06-27,8680.0
2008-06-30,8775.5
2008-07-01,8711.0
2008-07-02,8750.5
2008-07-03,8985.0
2008-07-04,8661.0
2008-07-07,8565.0
2008-07-08,8540.0
2008-07-09,8355.0
2008-07-10,8423.0
2008-07-11,8499.0
2008-07-14,8480.0
2008-07-15,8475.5
2008-07-16,8291.0
2008-07-17,8301.0
2008-07-18,8324.0
2008-07-21,8390.0
2008-07-22,8441.0
2008-07-23,8310.0
2008-07-24,8259.5
2008-07-25,8160.0
2008-07-28,8190.0
2008-07-29,8096.0
2008-07-30,8055.0
2008-07-31,8260.5
2008-08-01,8096.0
2008-08-04,7905.0
2008-08-05,7809.5
2008-08-06,7871.0
2008-08-07,7826.0
2008-08-08,7550.0
2008-08-11,7460.5
2008-08-12,7261.0
2008-08-13,7318.0
2008-08-14,7640.0
2008-08-15,7310.0
2008-08-18,7432.0
2008-08-19,7477.0
2008-08-20,7670.0
2008-08-21,7842.0
2008-08-22,7861.0
2008-08-26,7581.0
2008-08-27,7626.0
2008-08-28,7648.0
2008-08-29,7510.0
2008-09-01,7371.0
2008-09-02,7225.0
2008-09-03,7360.0
2008-09-04,7420.0
2008-09-05,7075.0
2008-09-08,6990.0
2008-09-09,6926.0
2008-09-10,6861.0
2008-09-11,6900.0
2008-09-12,7096.0
2008-09-15,6879.0
2008-09-16,6841.0
2008-09-17,6932.0
2008-09-18,6932.0
2008-09-19,6900.0
2008-09-22,7166.0
2008-09-23,7090.0
2008-09-24,6995.0
2008-09-25,6905.0
2008-09-26,6926.0
2008-09-29,6590.0
2008-09-30,6419.0
2008-10-01,6379.0
2008-10-02,6221.0
2008-10-03,5960.0
2008-10-06,5706.0
2008-10-07,5739.0
2008-10-08,5505.0
2008-10-09,5402.0
2008-10-10,5000.0
2008-10-13,5031.0
2008-10-14,5555.0
2008-10-15,5126.0
2008-10-16,4880.0
2008-10-17,4701.0
2008-10-20,4875.5
2008-10-21,4490.0
2008-10-22,4286.0
2008-10-23,3986.0
2008-10-24,3721.0
2008-10-27,3686.0
2008-10-28,4129.0
2008-10-29,4420.5
2008-10-30,4497.0
2008-10-31,3995.0
2008-11-03,3960.0
2008-11-04,4231.0
2008-11-05,4071.0
2008-11-06,3890.0
2008-11-07,3761.0
2008-11-08,3761.0
2008-11-10,4005.0
2008-11-11,3690.5
2008-11-12,3592.0
2008-11-13,3591.0
2008-11-14,3722.0
2008-11-17,3580.5
2008-11-18,3511.0
2008-11-19,3565.0
2008-11-20,3430.5
2008-11-21,3470.5
2008-11-24,3715.5
2008-11-25,3565.5
2008-11-26,3742.0
2008-11-27,3665.0
2008-11-28,3581.0
2008-12-01,3595.5
2008-12-02,3530.5
2008-12-03,3423.0
2008-12-04,3360.5
2008-12-05,3050.5
2008-12-08,3141.0
2008-12-09,3120.0
2008-12-10,3180.5
2008-12-11,3232.5
2008-12-12,2982.0
2008-12-15,3075.5
2008-12-16,3020.5
2008-12-17,3000.0
2008-12-18,2885.5
2008-12-19,2826.0
2008-12-22,2910.5
2008-12-23,2850.5
2008-12-24,2770.0
2008-12-29,2843.0
2008-12-30,2812.0
2008-12-31,2902.0
2009-01-02,3071.0
2009-01-05,3101.5
2009-01-06,3332.0
2009-01-07,3390.5
2009-01-08,3170.5
2009-01-09,3280.0
2009-01-12,3171.5
2009-01-13,3139.0
2009-01-14,3274.0
2009-01-15,3210.5
2009-01-16,3343.0
2009-01-19,3321.0
2009-01-20,3275.5
2009-01-21,3211.0
2009-01-22,3155.0
2009-01-23,3050.5
2009-01-26,3281.0
2009-01-27,3330.5
2009-01-28,3295.0
2009-01-29,3125.5
2009-01-30,3106.0
2009-02-02,3145.5
2009-02-03,3201.0
2009-02-04,3320.0
2009-02-05,3350.5
2009-02-06,3440.5
2009-02-09,3527.0
2009-02-10,3461.0
2009-02-11,3377.0
2009-02-12,3350.5
2009-02-13,3407.0
2009-02-16,3271.5
2009-02-17,3271.0
2009-02-18,3151.5
2009-02-19,3291.0
2009-02-20,3150.0
2009-02-23,3205.5
2009-02-24,3190.5
2009-02-25,3350.5
2009-02-26,3443.0
2009-02-27,3390.0
2009-03-02,3330.0
