Date,Value
2014-05-07,13600.0
2014-05-08,13450.0
2014-05-09,13325.0
2014-05-12,13200.0
2014-05-13,13075.0
2014-05-14,13015.0
2014-05-15,13015.0
2014-05-16,12955.0
2014-05-19,12875.0
2014-05-20,12775.0
2014-05-21,12675.0
2014-05-22,12571.0
2014-05-23,12509.0
2014-05-27,12488.0
2014-05-28,12488.0
2014-05-29,12488.0
2014-05-30,12488.0
2014-06-02,12488.0
2014-06-03,12978.0
2014-06-04,13403.0
2014-06-05,13852.0
2014-06-06,14276.0
2014-06-09,14876.0
2014-06-10,15138.0
2014-06-11,15701.0
2014-06-12,16209.0
2014-06-13,16667.0
2014-06-16,16655.0
2014-06-17,17174.0
2014-06-18,17113.0
2014-06-19,17049.0
2014-06-20,16987.0
2014-06-23,16926.0
2014-06-24,16926.0
2014-06-25,16823.0
2014-06-26,16760.0
2014-06-27,16678.0
2014-06-30,17135.0
2014-07-01,22141.0
2014-07-02,22141.0
2014-07-03,22141.0
2014-07-07,17135.0
2014-07-08,17135.0
2014-07-09,17146.0
2014-07-10,17146.0
2014-07-11,17146.0
2014-07-14,17146.0
2014-07-15,17146.0
2014-07-16,17146.0
2014-07-17,17146.0
2014-07-18,17296.0
2014-07-21,17430.0
2014-07-22,17580.0
2014-07-23,17580.0
2014-07-24,17580.0
2014-07-25,17580.0
2014-07-28,17580.0
2014-07-29,17605.0
2014-07-30,17905.0
2014-07-31,18026.0
2014-08-01,18026.0
2014-08-04,18001.0
2014-08-05,18001.0
2014-08-06,18001.0
2014-08-07,18001.0
2014-08-08,18001.0
2014-08-11,18001.0
2014-08-12,17918.0
2014-08-13,17796.0
2014-08-14,18271.0
2014-08-15,18271.0
2014-08-18,18711.0
2014-08-19,19164.0
2014-08-20,19164.0
2014-08-21,19159.0
2014-08-22,19159.0
2014-08-25,19159.0
2014-08-26,19072.0
2014-08-27,19052.0
2014-08-28,18884.0
2014-08-29,18784.0
2014-09-02,18784.0
2014-09-03,18714.0
2014-09-04,18918.0
2014-09-05,18918.0
