Date,Stock
2008-01-02,929450.0
2008-01-03,929500.0
2008-01-04,933750.0
2008-01-07,934350.0
2008-01-08,935150.0
2008-01-09,935525.0
2008-01-10,936475.0
2008-01-11,939325.0
2008-01-14,940050.0
2008-01-15,941225.0
2008-01-16,944075.0
2008-01-17,947625.0
2008-01-18,947450.0
2008-01-21,949475.0
2008-01-22,948600.0
2008-01-23,948000.0
2008-01-24,946550.0
2008-01-25,945075.0
2008-01-28,952150.0
2008-01-29,953175.0
2008-01-30,955350.0
2008-01-31,956625.0
2008-02-01,956475.0
2008-02-04,954850.0
2008-02-05,954450.0
2008-02-06,953575.0
2008-02-07,953575.0
2008-02-08,953450.0
2008-02-11,953300.0
2008-02-12,956150.0
2008-02-13,957900.0
2008-02-14,956075.0
2008-02-15,954200.0
2008-02-18,952425.0
2008-02-19,951725.0
2008-02-20,952725.0
2008-02-21,952725.0
2008-02-22,951250.0
2008-02-25,950900.0
2008-02-26,950200.0
2008-02-27,949675.0
2008-02-28,948575.0
2008-02-29,947225.0
2008-03-03,947425.0
2008-03-04,948325.0
2008-03-05,948225.0
2008-03-06,946325.0
2008-03-07,943175.0
2008-03-10,942600.0
2008-03-11,951225.0
2008-03-12,963550.0
2008-03-13,987325.0
2008-03-14,1006600.0
2008-03-17,1019550.0
2008-03-18,1024550.0
2008-03-19,1032825.0
2008-03-20,1033875.0
2008-03-25,1035350.0
2008-03-26,1033425.0
2008-03-27,1032250.0
2008-03-28,1031550.0
2008-03-31,1032100.0
2008-04-01,1032050.0
2008-04-02,1030975.0
2008-04-03,1030725.0
2008-04-04,1029875.0
2008-04-07,1029525.0
2008-04-08,1028100.0
2008-04-09,1026400.0
2008-04-10,1024675.0
2008-04-11,1023175.0
2008-04-14,1020650.0
2008-04-15,1029275.0
2008-04-16,1031150.0
2008-04-17,1029300.0
2008-04-18,1027700.0
2008-04-21,1028000.0
2008-04-22,1026975.0
2008-04-23,1026950.0
2008-04-24,1038850.0
2008-04-25,1043775.0
2008-04-28,1042825.0
2008-04-29,1042075.0
2008-04-30,1040675.0
2008-05-01,1038950.0
2008-05-02,1037500.0
2008-05-06,1036325.0
2008-05-07,1039275.0
2008-05-08,1038350.0
2008-05-09,1037100.0
2008-05-12,1035625.0
2008-05-13,1033800.0
2008-05-14,1032375.0
2008-05-15,1030450.0
2008-05-16,1029125.0
2008-05-19,1039550.0
2008-05-20,1061725.0
2008-05-21,1065625.0
2008-05-22,1075600.0
2008-05-23,1073000.0
2008-05-27,1071075.0
2008-05-28,1072300.0
2008-05-29,1077175.0
2008-05-30,1076075.0
2008-06-02,1075775.0
2008-06-03,1074900.0
2008-06-04,1073375.0
2008-06-05,1072400.0
2008-06-06,1070925.0
2008-06-09,1069275.0
2008-06-10,1069900.0
2008-06-11,1068675.0
2008-06-12,1071325.0
2008-06-13,1069975.0
2008-06-16,1068650.0
2008-06-17,1069275.0
2008-06-18,1077300.0
2008-06-19,1078325.0
2008-06-20,1077975.0
2008-06-23,1083925.0
2008-06-24,1084800.0
2008-06-25,1093300.0
2008-06-26,1091325.0
2008-06-27,1094150.0
2008-06-30,1092525.0
2008-07-01,1093175.0
2008-07-02,1091925.0
2008-07-03,1090225.0
2008-07-04,1088175.0
2008-07-07,1087075.0
2008-07-08,1088750.0
2008-07-09,1089250.0
2008-07-10,1088675.0
2008-07-11,1088275.0
2008-07-14,1090325.0
2008-07-15,1090575.0
2008-07-16,1115400.0
2008-07-17,1114150.0
2008-07-18,1118475.0
2008-07-21,1123450.0
2008-07-22,1122375.0
2008-07-23,1121950.0
2008-07-24,1120975.0
2008-07-25,1118875.0
2008-07-28,1122375.0
2008-07-29,1123225.0
2008-07-30,1123950.0
2008-07-31,1125975.0
2008-08-01,1124225.0
2008-08-04,1124275.0
2008-08-05,1123700.0
2008-08-06,1123050.0
2008-08-07,1125675.0
2008-08-08,1124525.0
2008-08-11,1123825.0
2008-08-12,1123600.0
2008-08-13,1123125.0
2008-08-14,1124325.0
2008-08-15,1123375.0
2008-08-18,1128100.0
2008-08-19,1131100.0
2008-08-20,1156150.0
2008-08-21,1164500.0
2008-08-22,1165250.0
2008-08-26,1164725.0
2008-08-27,1162525.0
2008-08-28,1168125.0
2008-08-29,1169375.0
2008-09-01,1169650.0
2008-09-02,1169225.0
2008-09-03,1171875.0
2008-09-04,1173725.0
2008-09-05,1173075.0
2008-09-08,1171950.0
2008-09-09,1170450.0
2008-09-10,1170400.0
2008-09-11,1184650.0
2008-09-12,1186575.0
2008-09-15,1186075.0
2008-09-16,1329325.0
2008-09-17,1329325.0
2008-09-18,1340225.0
2008-09-19,1343250.0
2008-09-22,1358900.0
2008-09-23,1361950.0
2008-09-24,1363225.0
2008-09-25,1369050.0
2008-09-26,1370700.0
2008-09-29,1372900.0
2008-09-30,1376400.0
2008-10-01,1376600.0
2008-10-02,1376175.0
2008-10-03,1383025.0
2008-10-06,1385625.0
2008-10-07,1387750.0
2008-10-08,1394550.0
2008-10-09,1394525.0
2008-10-10,1396025.0
2008-10-13,1398600.0
2008-10-14,1405350.0
2008-10-15,1461225.0
2008-10-16,1470450.0
2008-10-17,1482250.0
2008-10-20,1487350.0
2008-10-21,1494675.0
2008-10-22,1496675.0
2008-10-23,1500150.0
2008-10-24,1503025.0
2008-10-27,1505575.0
2008-10-28,1505775.0
2008-10-29,1506975.0
2008-10-30,1523175.0
2008-10-31,1524325.0
2008-11-03,1528400.0
2008-11-04,1532525.0
2008-11-05,1531375.0
2008-11-06,1537750.0
2008-11-07,1537350.0
2008-11-08,1537350.0
2008-11-10,1548475.0
2008-11-11,1550025.0
2008-11-12,1556150.0
2008-11-13,1600575.0
2008-11-14,1601650.0
2008-11-17,1611650.0
2008-11-18,1619550.0
2008-11-19,1701525.0
2008-11-20,1722375.0
2008-11-21,1724400.0
2008-11-24,1726325.0
2008-11-25,1742150.0
2008-11-26,1751650.0
2008-11-27,1795975.0
2008-11-28,1802950.0
2008-12-01,1823800.0
2008-12-02,1826525.0
2008-12-03,1839275.0
2008-12-04,1858775.0
2008-12-05,1866900.0
2008-12-08,1875825.0
2008-12-09,1877425.0
2008-12-10,1895675.0
2008-12-11,1903275.0
2008-12-12,1919000.0
2008-12-15,1932575.0
2008-12-16,1942675.0
2008-12-17,2041825.0
2008-12-18,2068925.0
2008-12-19,2158600.0
2008-12-22,2197950.0
2008-12-23,2232600.0
2008-12-24,2250000.0
2008-12-29,2253025.0
2008-12-30,2302025.0
2008-12-31,2328900.0
2009-01-02,2338300.0
2009-01-05,2345225.0
2009-01-06,2357100.0
2009-01-07,2370350.0
2009-01-08,2394175.0
2009-01-09,2406225.0
2009-01-12,2421875.0
2009-01-13,2432825.0
2009-01-14,2445525.0
2009-01-15,2479125.0
2009-01-16,2485275.0
2009-01-19,2537150.0
2009-01-20,2552475.0
2009-01-21,2641450.0
2009-01-22,2675700.0
2009-01-23,2692325.0
2009-01-26,2711550.0
2009-01-27,2719350.0
2009-01-28,2731850.0
2009-01-29,2791600.0
2009-01-30,2803650.0
2009-02-02,2810825.0
2009-02-03,2839125.0
2009-02-04,2838350.0
2009-02-05,2860900.0
2009-02-06,2869625.0
2009-02-09,2888475.0
2009-02-10,2903000.0
2009-02-11,2915875.0
2009-02-12,2924000.0
2009-02-13,2927925.0
2009-02-16,2938250.0
2009-02-17,2948375.0
2009-02-18,3088075.0
2009-02-19,3118925.0
2009-02-20,3147300.0
2009-02-23,3159950.0
2009-02-24,3173075.0
2009-02-25,3182850.0
2009-02-26,3201125.0
2009-02-27,3208625.0
2009-03-02,3226700.0
2009-03-03,3243900.0
2009-03-04,3255600.0
2009-03-05,3260300.0
2009-03-06,3266600.0
2009-03-09,3272700.0
2009-03-10,3284950.0
