Date,Value
2008-10-06,126130.0
2008-10-07,125404.0
2008-10-08,125305.0
2008-10-09,125530.0
2008-10-10,124328.0
2008-10-13,121991.0
2008-10-14,121220.0
2008-10-15,120524.0
2008-10-16,120203.0
2008-10-17,116332.0
2008-10-20,113445.0
2008-10-21,111971.0
2008-10-22,109509.0
2008-10-23,106833.0
2008-10-24,99989.0
2008-10-27,98695.0
2008-10-28,97617.0
2008-10-29,96942.0
2008-10-30,96791.0
2008-10-31,96716.0
2008-11-03,96566.0
2008-11-04,96516.0
2008-11-05,96668.0
2008-11-06,96046.0
2008-11-07,93115.0
2008-11-10,91989.0
2008-11-11,93614.0
2008-11-12,93141.0
2008-11-13,94243.0
2008-11-14,93546.0
2008-11-17,95343.0
2008-11-18,94995.0
2008-11-19,94919.0
2008-11-20,94595.0
2008-11-21,93468.0
2008-11-24,91973.0
2008-11-25,90447.0
2008-11-26,79303.0
2008-11-27,79151.0
2008-11-28,78827.0
2008-12-01,74288.0
2008-12-02,72366.0
2008-12-03,69626.0
2008-12-04,70828.0
2008-12-05,70627.0
2008-12-08,69827.0
2008-12-09,69331.0
2008-12-10,67908.0
2008-12-11,67583.0
2008-12-12,67685.0
2008-12-15,67136.0
2008-12-16,66810.0
2008-12-17,61859.0
2008-12-18,56191.0
2008-12-19,55367.0
2008-12-22,53568.0
2008-12-23,52672.0
2008-12-24,52597.0
2008-12-25,52196.0
2008-12-26,52196.0
2008-12-29,51694.0
2008-12-30,50251.0
2008-12-31,47948.0
2009-01-05,40979.0
2009-01-06,37435.0
2009-01-07,36083.0
2009-01-08,37575.0
2009-01-09,34509.0
2009-01-12,33890.0
2009-01-13,32346.0
2009-01-14,30869.0
2009-01-15,30442.0
2009-01-16,30465.0
2009-01-19,30215.0
2009-01-20,29217.0
2009-01-21,29117.0
2009-01-22,28817.0
2009-01-23,28243.0
2009-02-02,28243.0
2009-02-03,28167.0
2009-02-04,27968.0
2009-02-05,27368.0
2009-02-06,27167.0
2009-02-09,27138.0
2009-02-10,26962.0
2009-02-11,26963.0
2009-02-12,29651.0
2009-02-13,29679.0
2009-02-16,37725.0
2009-02-17,41264.0
2009-02-18,41139.0
2009-02-19,40368.0
2009-02-20,38566.0
2009-02-23,37211.0
2009-02-24,37062.0
2009-02-25,37687.0
2009-02-26,37489.0
2009-02-27,36766.0
2009-03-02,35917.0
2009-03-03,37858.0
2009-03-04,36502.0
2009-03-05,35075.0
2009-03-06,34825.0
2009-03-09,34525.0
2009-03-10,34674.0
2009-03-11,34076.0
2009-03-12,33876.0
2009-03-13,34404.0
2009-03-16,36373.0
2009-03-17,39468.0
