Date,Value
2001-09-04,186846.0
2001-09-05,186921.0
2001-09-06,186921.0
2001-09-07,187090.0
2001-09-10,187090.0
2001-09-11,187135.0
2001-09-12,187135.0
2001-09-13,187135.0
2001-09-14,187135.0
2001-09-17,189160.0
2001-09-18,189874.0
2001-09-19,190833.0
2001-09-20,192451.0
2001-09-21,192936.0
2001-09-24,194673.0
2001-09-25,195360.0
2001-09-26,197614.0
2001-09-27,198233.0
2001-09-28,199584.0
2001-10-01,200263.0
2001-10-02,200821.0
2001-10-03,201390.0
2001-10-04,201611.0
2001-10-05,201656.0
2001-10-08,202364.0
2001-10-09,202661.0
2001-10-10,203449.0
2001-10-11,204182.0
2001-10-12,204935.0
2001-10-15,205081.0
2001-10-16,205448.0
2001-10-17,206094.0
2001-10-18,206799.0
2001-10-19,207352.0
2001-10-22,207909.0
2001-10-23,208337.0
2001-10-24,208929.0
2001-10-25,209324.0
2001-10-26,210010.0
2001-10-29,210484.0
2001-10-30,210957.0
2001-10-31,210957.0
2001-11-01,211928.0
2001-11-02,211928.0
2001-11-05,211928.0
2001-11-06,213029.0
2001-11-07,213029.0
2001-11-08,214870.0
2001-11-09,214870.0
2001-11-12,216780.0
2001-11-13,218206.0
2001-11-14,219233.0
2001-11-15,219233.0
2001-11-16,222325.0
2001-11-19,223933.0
2001-11-20,224595.0
2001-11-21,226771.0
2001-11-23,226771.0
2001-11-26,229603.0
2001-11-27,230485.0
2001-11-28,231105.0
2001-11-29,233223.0
2001-11-30,236506.0
2001-12-03,238456.0
2001-12-04,238869.0
2001-12-05,238869.0
2001-12-06,240848.0
2001-12-07,242486.0
2001-12-10,243959.0
2001-12-11,246049.0
2001-12-12,246585.0
2001-12-13,248337.0
2001-12-14,251241.0
2001-12-17,254939.0
2001-12-18,256366.0
2001-12-19,258230.0
2001-12-20,259402.0
2001-12-21,261919.0
2001-12-24,261919.0
2001-12-26,265423.0
2001-12-27,266137.0
2001-12-28,267223.0
2001-12-31,268750.0
2002-01-02,269191.0
2002-01-03,269406.0
2002-01-04,269709.0
2002-01-07,270075.0
