Date,Stock
2008-01-02,198925.0
2008-01-03,198175.0
2008-01-04,198600.0
2008-01-07,201000.0
2008-01-08,200975.0
2008-01-09,200750.0
2008-01-10,199650.0
2008-01-11,199275.0
2008-01-14,198600.0
2008-01-15,194100.0
2008-01-16,191050.0
2008-01-17,185550.0
2008-01-18,183225.0
2008-01-21,180900.0
2008-01-22,178850.0
2008-01-23,176175.0
2008-01-24,174300.0
2008-01-25,172775.0
2008-01-28,171675.0
2008-01-29,171275.0
2008-01-30,170650.0
2008-01-31,178775.0
2008-02-01,177800.0
2008-02-04,177050.0
2008-02-05,174775.0
2008-02-06,171975.0
2008-02-07,171975.0
2008-02-08,169475.0
2008-02-11,164125.0
2008-02-12,159725.0
2008-02-13,157600.0
2008-02-14,154650.0
2008-02-15,150650.0
2008-02-18,144375.0
2008-02-19,140350.0
2008-02-20,135375.0
2008-02-21,135375.0
2008-02-22,141600.0
2008-02-25,149225.0
2008-02-26,149125.0
2008-02-27,146600.0
2008-02-28,144850.0
2008-02-29,143650.0
2008-03-03,141375.0
2008-03-04,139550.0
2008-03-05,138150.0
2008-03-06,135800.0
2008-03-07,134275.0
2008-03-10,131925.0
2008-03-11,130250.0
2008-03-12,128975.0
2008-03-13,127950.0
2008-03-14,125225.0
2008-03-17,125500.0
2008-03-18,124575.0
2008-03-19,122975.0
2008-03-20,121875.0
2008-03-25,120175.0
2008-03-26,118050.0
2008-03-27,117225.0
2008-03-28,115250.0
2008-03-31,112500.0
2008-04-01,111350.0
2008-04-02,112075.0
2008-04-03,112575.0
2008-04-04,115150.0
2008-04-07,116150.0
2008-04-08,115050.0
2008-04-09,115575.0
2008-04-10,116100.0
2008-04-11,115150.0
2008-04-14,116250.0
2008-04-15,117150.0
2008-04-16,116150.0
2008-04-17,116525.0
2008-04-18,114200.0
2008-04-21,113725.0
2008-04-22,113725.0
2008-04-23,112475.0
2008-04-24,112200.0
2008-04-25,110775.0
2008-04-28,110325.0
2008-04-29,109650.0
2008-04-30,110525.0
2008-05-01,110075.0
2008-05-02,109625.0
2008-05-06,109650.0
2008-05-07,109025.0
2008-05-08,110125.0
2008-05-09,121275.0
2008-05-12,121650.0
2008-05-13,121775.0
2008-05-14,121425.0
2008-05-15,120850.0
2008-05-16,121225.0
2008-05-19,122725.0
2008-05-20,122650.0
2008-05-21,124950.0
2008-05-22,125200.0
2008-05-23,125375.0
2008-05-27,124400.0
2008-05-28,125800.0
2008-05-29,126400.0
2008-05-30,124950.0
2008-06-02,123950.0
2008-06-03,122900.0
2008-06-04,122250.0
2008-06-05,123500.0
2008-06-06,122550.0
2008-06-09,121150.0
2008-06-10,120550.0
2008-06-11,121275.0
2008-06-12,120625.0
2008-06-13,121175.0
2008-06-16,122050.0
2008-06-17,123550.0
2008-06-18,123900.0
2008-06-19,124225.0
2008-06-20,124000.0
2008-06-23,123125.0
2008-06-24,123150.0
2008-06-25,122625.0
2008-06-26,123050.0
2008-06-27,122900.0
2008-06-30,122600.0
2008-07-01,122350.0
2008-07-02,122475.0
2008-07-03,122500.0
2008-07-04,122575.0
2008-07-07,122075.0
2008-07-08,122175.0
2008-07-09,124325.0
2008-07-10,124850.0
2008-07-11,124125.0
2008-07-14,124725.0
2008-07-15,125050.0
2008-07-16,125700.0
2008-07-17,127900.0
2008-07-18,128550.0
2008-07-21,128725.0
2008-07-22,129325.0
2008-07-23,129450.0
2008-07-24,130875.0
2008-07-25,133475.0
2008-07-28,136050.0
2008-07-29,136725.0
2008-07-30,137950.0
2008-07-31,142400.0
2008-08-01,144650.0
2008-08-04,146200.0
2008-08-05,148750.0
2008-08-06,150325.0
2008-08-07,151100.0
2008-08-08,150875.0
2008-08-11,151625.0
2008-08-12,151700.0
2008-08-13,151575.0
2008-08-14,153950.0
2008-08-15,154050.0
2008-08-18,154575.0
2008-08-19,156150.0
2008-08-20,156125.0
2008-08-21,156525.0
2008-08-22,163800.0
2008-08-26,166900.0
2008-08-27,167850.0
2008-08-28,170050.0
2008-08-29,173375.0
2008-09-01,173725.0
2008-09-02,179800.0
2008-09-03,180525.0
2008-09-04,182100.0
2008-09-05,200875.0
2008-09-08,200825.0
2008-09-09,202125.0
2008-09-10,203850.0
2008-09-11,204125.0
2008-09-12,203075.0
2008-09-15,204350.0
2008-09-16,203975.0
2008-09-17,203975.0
2008-09-18,204150.0
2008-09-19,209800.0
2008-09-22,206700.0
2008-09-23,202075.0
2008-09-24,201050.0
2008-09-25,200525.0
2008-09-26,200175.0
2008-09-29,198925.0
2008-09-30,198600.0
2008-10-01,199050.0
2008-10-02,199075.0
2008-10-03,198500.0
2008-10-06,198750.0
2008-10-07,208350.0
2008-10-08,208525.0
2008-10-09,209300.0
2008-10-10,209400.0
2008-10-13,209325.0
2008-10-14,211800.0
2008-10-15,211625.0
2008-10-16,212025.0
2008-10-17,211450.0
2008-10-20,212400.0
2008-10-21,205900.0
2008-10-22,207750.0
2008-10-23,209250.0
2008-10-24,211975.0
2008-10-27,213375.0
2008-10-28,215550.0
2008-10-29,217300.0
2008-10-30,223875.0
2008-10-31,230650.0
2008-11-03,237925.0
2008-11-04,241650.0
2008-11-05,247475.0
2008-11-06,252550.0
2008-11-07,254800.0
2008-11-08,254800.0
2008-11-10,260850.0
2008-11-11,265475.0
2008-11-12,270100.0
2008-11-13,272625.0
2008-11-14,274100.0
2008-11-17,275900.0
2008-11-18,278575.0
2008-11-19,280050.0
2008-11-20,281625.0
2008-11-21,283125.0
2008-11-24,284400.0
2008-11-25,287225.0
2008-11-26,286350.0
2008-11-27,288725.0
2008-11-28,291650.0
2008-12-01,291200.0
2008-12-02,293025.0
2008-12-03,292775.0
2008-12-04,292975.0
2008-12-05,297300.0
2008-12-08,300725.0
2008-12-09,302575.0
2008-12-10,303600.0
2008-12-11,302850.0
2008-12-12,306825.0
2008-12-15,314825.0
2008-12-16,318625.0
2008-12-17,321900.0
2008-12-18,324175.0
2008-12-19,324300.0
2008-12-22,327500.0
2008-12-23,328200.0
2008-12-24,331450.0
2008-12-29,336700.0
2008-12-30,337350.0
2008-12-31,339775.0
2009-01-02,340550.0
2009-01-05,342050.0
2009-01-06,343500.0
2009-01-07,351325.0
2009-01-08,357700.0
2009-01-09,363575.0
2009-01-12,369500.0
2009-01-13,374850.0
2009-01-14,382150.0
2009-01-15,387325.0
2009-01-16,391525.0
2009-01-19,393675.0
2009-01-20,409100.0
2009-01-21,417475.0
2009-01-22,422450.0
2009-01-23,424625.0
2009-01-26,439425.0
2009-01-27,451800.0
2009-01-28,454925.0
2009-01-29,477675.0
2009-01-30,491525.0
2009-02-02,491200.0
2009-02-03,495300.0
2009-02-04,499950.0
2009-02-05,502600.0
2009-02-06,504625.0
2009-02-09,507775.0
2009-02-10,514425.0
2009-02-11,516450.0
2009-02-12,516675.0
2009-02-13,519550.0
2009-02-16,523325.0
2009-02-17,526425.0
2009-02-18,525300.0
2009-02-19,528250.0
2009-02-20,545600.0
2009-02-23,544650.0
2009-02-24,546600.0
2009-02-25,548400.0
2009-02-26,545475.0
2009-02-27,542300.0
2009-03-02,536675.0
2009-03-03,530875.0
2009-03-04,526025.0
2009-03-05,525200.0
2009-03-06,522025.0
2009-03-09,518700.0
2009-03-10,512025.0
2009-03-11,501875.0
2009-03-12,504325.0
2009-03-13,497625.0
2009-03-16,494850.0
2009-03-17,494525.0
2009-03-18,495150.0
2009-03-19,493450.0
2009-03-20,503950.0
2009-03-23,508325.0
2009-03-24,505425.0
2009-03-25,503675.0
2009-03-26,503900.0
2009-03-27,500750.0
2009-03-30,501400.0
2009-03-31,499625.0
2009-04-01,501775.0
2009-04-02,506975.0
2009-04-03,502150.0
2009-04-06,504825.0
2009-04-07,501900.0
2009-04-08,504200.0
2009-04-09,496775.0
2009-04-14,492000.0
2009-04-15,480400.0
2009-04-16,475200.0
2009-04-17,469625.0
2009-04-20,462325.0
2009-04-21,457300.0
2009-04-22,450100.0
2009-04-23,440475.0
2009-04-24,429550.0
2009-04-27,425275.0
2009-04-28,420275.0
2009-04-29,411450.0
2009-04-30,405775.0
2009-05-01,398700.0
2009-05-05,394925.0
2009-05-06,402150.0
2009-05-07,393900.0
2009-05-08,389000.0
2009-05-11,385175.0
2009-05-12,379025.0
2009-05-13,373750.0
2009-05-14,370650.0
2009-05-15,357800.0
2009-05-18,353550.0
2009-05-19,348825.0
