Date,Value
2008-10-06,7526.0
2008-10-07,7526.0
2008-10-08,8126.0
2008-10-09,8452.0
2008-10-10,8825.0
2008-10-13,8825.0
2008-10-14,9525.0
2008-10-15,11512.0
2008-10-16,15902.0
2008-10-17,16903.0
2008-10-20,15952.0
2008-10-21,14119.0
2008-10-22,13546.0
2008-10-23,13540.0
2008-10-24,13416.0
2008-10-27,12592.0
2008-10-28,12567.0
2008-10-29,12392.0
2008-10-30,11917.0
2008-10-31,11496.0
2008-11-03,11219.0
2008-11-04,11095.0
2008-11-05,10821.0
2008-11-06,10721.0
2008-11-07,10372.0
2008-11-10,10272.0
2008-11-11,10272.0
2008-11-12,10524.0
2008-11-13,10374.0
2008-11-14,10200.0
2008-11-17,13365.0
2008-11-18,14613.0
2008-11-19,14413.0
2008-11-20,13264.0
2008-11-21,11220.0
2008-11-24,8949.0
2008-11-25,8978.0
2008-11-26,8828.0
2008-11-27,8628.0
2008-11-28,8354.0
2008-12-01,8178.0
2008-12-02,8028.0
2008-12-03,7877.0
2008-12-04,7627.0
2008-12-05,7551.0
2008-12-08,7526.0
2008-12-09,7426.0
2008-12-10,7578.0
2008-12-11,7730.0
2008-12-12,7730.0
2008-12-15,9255.0
2008-12-16,13083.0
2008-12-17,13257.0
2008-12-18,10830.0
2008-12-19,9602.0
2008-12-22,9478.0
2008-12-23,9354.0
2008-12-24,9154.0
2008-12-25,8980.0
2008-12-26,8804.0
2008-12-29,8527.0
2008-12-30,8329.0
2008-12-31,8279.0
2009-01-05,8254.0
2009-01-06,8128.0
2009-01-07,8127.0
2009-01-08,8027.0
2009-01-09,7953.0
2009-01-12,7703.0
2009-01-13,7653.0
2009-01-14,7403.0
2009-01-15,7956.0
2009-01-16,12306.0
2009-01-19,12306.0
2009-01-20,10206.0
2009-01-21,9078.0
2009-01-22,8526.0
2009-01-23,8526.0
2009-02-02,7654.0
2009-02-03,7654.0
2009-02-04,7478.0
2009-02-05,8577.0
2009-02-06,8577.0
2009-02-09,8577.0
2009-02-10,8377.0
2009-02-11,9329.0
2009-02-12,9430.0
2009-02-13,9430.0
2009-02-16,13072.0
2009-02-17,17673.0
2009-02-18,17877.0
2009-02-19,14950.0
2009-02-20,12698.0
2009-02-23,11650.0
2009-02-24,11174.0
2009-02-25,10950.0
2009-02-26,10925.0
2009-02-27,10925.0
2009-03-02,10901.0
2009-03-03,11002.0
2009-03-04,11002.0
2009-03-05,11002.0
2009-03-06,11002.0
2009-03-09,11002.0
2009-03-10,11002.0
2009-03-11,10977.0
2009-03-12,11677.0
2009-03-13,11677.0
2009-03-16,13154.0
2009-03-17,14655.0
2009-03-18,14605.0
2009-03-19,12102.0
2009-03-20,10650.0
2009-03-23,8802.0
2009-03-24,8226.0
2009-03-25,8076.0
2009-03-26,8076.0
2009-03-27,8076.0
2009-03-30,8076.0
2009-03-31,8076.0
2009-04-01,7328.0
2009-04-02,7303.0
2009-04-03,6829.0
2009-04-07,6904.0
2009-04-08,6904.0
2009-04-09,6829.0
2009-04-10,6679.0
2009-04-13,5954.0
2009-04-14,6357.0
2009-04-15,6305.0
2009-04-16,11953.0
2009-04-17,11953.0
2009-04-20,8532.0
2009-04-21,7982.0
2009-04-22,7458.0
2009-04-23,7332.0
2009-04-24,6607.0
2009-04-27,6481.0
2009-04-28,6356.0
2009-04-29,6356.0
2009-04-30,6356.0
2009-05-04,6356.0
2009-05-05,6356.0
2009-05-06,6356.0
2009-05-07,6356.0
2009-05-08,6356.0
2009-05-11,6456.0
2009-05-12,6556.0
2009-05-13,6581.0
2009-05-14,8329.0
2009-05-15,10925.0
2009-05-18,20319.0
2009-05-19,20294.0
2009-05-20,15972.0
2009-05-21,13402.0
2009-05-22,10478.0
2009-05-25,9081.0
2009-05-26,9081.0
2009-05-27,9081.0
2009-06-01,8931.0
2009-06-02,8252.0
2009-06-03,8202.0
2009-06-04,8202.0
2009-06-05,8328.0
2009-06-08,8478.0
2009-06-09,8729.0
2009-06-10,9856.0
2009-06-11,11761.0
2009-06-12,11836.0
2009-06-15,20250.0
2009-06-16,27372.0
2009-06-17,22990.0
2009-06-18,18709.0
2009-06-19,15753.0
2009-06-22,13621.0
2009-06-23,12642.0
2009-06-24,11638.0
2009-06-25,11436.0
2009-06-26,11133.0
2009-06-29,11058.0
2009-06-30,11008.0
2009-07-01,11058.0
2009-07-02,10759.0
2009-07-03,10734.0
2009-07-06,10459.0
2009-07-07,10310.0
2009-07-08,10618.0
2009-07-09,10313.0
2009-07-10,10013.0
2009-07-13,9785.0
2009-07-14,9735.0
2009-07-15,11342.0
2009-07-16,15924.0
2009-07-17,15222.0
2009-07-20,12667.0
2009-07-21,10989.0
2009-07-22,10612.0
2009-07-23,10586.0
2009-07-24,12743.0
2009-07-27,12743.0
2009-07-28,12718.0
2009-07-29,12718.0
2009-07-30,12718.0
2009-07-31,13218.0
2009-08-03,13293.0
2009-08-04,13243.0
2009-08-05,13743.0
2009-08-06,14418.0
2009-08-07,14369.0
2009-08-10,14295.0
2009-08-11,15021.0
2009-08-12,15146.0
2009-08-13,15798.0
2009-08-14,17051.0
2009-08-17,19930.0
2009-08-18,26664.0
2009-08-19,26267.0
2009-08-20,23991.0
2009-08-21,22813.0
2009-08-24,20007.0
2009-08-25,20007.0
2009-08-26,19533.0
2009-08-27,19458.0
2009-08-28,19332.0
2009-08-31,19656.0
2009-09-01,19656.0
2009-09-02,19480.0
2009-09-03,19281.0
2009-09-04,18826.0
2009-09-07,18248.0
2009-09-08,18223.0
2009-09-09,17921.0
2009-09-10,18719.0
2009-09-11,19499.0
2009-09-14,21248.0
2009-09-15,25317.0
2009-09-16,27587.0
2009-09-17,27387.0
2009-09-18,25485.0
2009-09-21,24208.0
2009-09-22,22534.0
2009-09-23,22384.0
2009-09-24,22158.0
2009-09-25,21659.0
2009-09-28,18956.0
2009-09-29,17461.0
2009-09-30,16379.0
2009-10-09,16126.0
2009-10-12,16704.0
2009-10-13,17557.0
2009-10-14,20086.0
2009-10-15,22117.0
2009-10-16,28621.0
2009-10-19,28471.0
2009-10-20,22873.0
2009-10-21,22116.0
2009-10-23,21513.0
2009-10-26,20755.0
2009-10-27,21756.0
2009-10-28,22006.0
2009-10-29,26220.0
2009-10-30,27019.0
2009-11-02,26992.0
2009-11-03,27240.0
2009-11-04,27015.0
2009-11-05,27369.0
2009-11-06,28121.0
2009-11-09,29295.0
2009-11-10,30144.0
2009-11-11,31248.0
2009-11-12,32471.0
2009-11-13,32885.0
2009-11-16,30984.0
2009-11-17,39152.0
2009-11-18,38925.0
2009-11-19,36874.0
2009-11-20,32833.0
2009-11-23,32862.0
2009-11-24,33236.0
2009-11-25,33461.0
2009-11-26,34463.0
2009-11-27,34588.0
2009-11-30,34159.0
2009-12-01,34260.0
2009-12-02,34909.0
2009-12-03,34281.0
2009-12-04,33552.0
2009-12-07,34674.0
2009-12-08,34397.0
2009-12-09,34497.0
2009-12-10,34670.0
2009-12-11,34520.0
2009-12-14,33265.0
2009-12-15,38514.0
2009-12-16,45055.0
2009-12-17,44653.0
2009-12-18,42501.0
2009-12-21,37601.0
2009-12-22,36802.0
2009-12-23,33430.0
2009-12-24,31243.0
2009-12-25,30609.0
2009-12-28,30284.0
2009-12-29,30084.0
2009-12-30,30096.0
2009-12-31,31166.0
2010-01-04,32390.0
2010-01-05,33015.0
2010-01-06,33989.0
2010-01-07,33840.0
2010-01-08,33715.0
2010-01-11,34240.0
2010-01-12,34165.0
2010-01-13,35340.0
2010-01-14,34314.0
2010-01-15,33669.0
2010-01-18,36689.0
2010-01-19,36140.0
2010-01-20,33639.0
2010-01-21,32213.0
2010-01-22,31436.0
2010-01-25,29933.0
2010-01-26,29783.0
2010-01-27,30583.0
2010-01-28,31557.0
2010-01-29,31156.0
2010-02-01,30156.0
2010-02-02,30606.0
2010-02-03,30055.0
2010-02-04,29780.0
2010-02-05,30530.0
2010-02-08,29657.0
2010-02-09,29857.0
2010-02-10,30680.0
2010-02-11,30055.0
2010-02-12,29978.0
2010-02-22,29253.0
2010-02-23,28879.0
2010-02-24,29503.0
2010-02-25,29678.0
2010-02-26,31780.0
2010-03-01,32604.0
2010-03-02,34834.0
2010-03-03,35710.0
2010-03-04,35835.0
2010-03-05,36411.0
2010-03-08,40282.0
2010-03-09,42170.0
