Date	ActualValue	ForecastValue	PreviousValue
2025.11.03	50.6		51.2
2025.09.30	51.2	50.6	50.5
2025.09.01	50.5	50.6	49.5
2025.08.01	49.5	50.7	50.4
2025.07.01	50.4	49.2	48.3
2025.06.03	48.3	50.9	50.4
2025.04.30	50.4	50.8	51.2
2025.04.01	51.2	50.7	50.8
2025.03.03	50.8	50.7	50.1
2025.02.03	50.1	51.4	50.5
2025.01.02	50.5	50.6	51.5
2024.12.02	51.5	49.5	50.3
2024.11.01	50.3	50.2	49.3
2024.09.30	49.3	51.1	50.4
2024.09.02	50.4	50.7	49.8
2024.08.01	49.8	51.6	51.8
2024.07.01	51.8	51.3	51.7
2024.06.03	51.7	51.1	51.4
2024.04.30	51.4	50.9	51.1
2024.04.01	51.1	50.8	50.9
2024.03.01	50.9	50.2	50.8
2024.02.01	50.8	50.1	50.8
2024.01.02	50.8	50.3	50.7
2023.12.01	50.7	50.4	49.5
2023.11.01	49.5	50.8	50.6
2023.10.01	50.6	50.1	51.0
2023.09.01	51.0	49.8	49.2
2023.08.01	49.2	50.7	50.5
2023.07.03	50.5	50.2	50.9
2023.06.01	50.9	49.7	49.5
2023.05.04	49.5	50.8	50.0
2023.04.03	50.0	50.4	51.6
2023.03.01	51.6	49.1	49.2
2023.02.01	49.2	49.2	49.0
2023.01.03	49.0	49.3	49.4
2022.12.01	49.4	48.6	49.2
2022.11.01	49.2	48.7	48.1
2022.09.30	48.1	49.9	49.5
2022.09.01	49.5	51.0	50.4
2022.08.01	50.4	49.9	51.7
2022.07.01	51.7	47.0	48.1
2022.06.01	48.1	47.0	46.0
2022.04.30	46.0	49.2	48.1
2022.04.01	48.1	49.7	50.4
2022.03.01	50.4	49.9	49.1
2022.01.30	49.1	50.3	50.9
2022.01.04	50.9	50.2	49.9
2021.12.01	49.9	50.2	50.6
2021.11.01	50.6	49.5	50.0
2021.09.30	50.0	49.7	49.2
2021.09.01	49.2	50.7	50.3
2021.08.02	50.3	51.6	51.3
2021.07.01	51.3	51.9	52.0
2021.06.01	52.0	51.2	51.9
2021.04.30	51.9	50.7	50.6
2021.04.01	50.6	51.1	50.9
2021.03.01	50.9	52.2	51.5
2021.02.01	51.5	53.9	53.0
